Timestamp,Latitude,Longitude,Tree_no,Tree_sp,Usnea,Evernia,Hypogymnia,Melanelixia,Flavoparmelia,Parmelia, Leafy_Xanthoria,Cushion_Xanthoria,Physcia
07/02/2020 13:08,52.4585895,-1.9252276,1,Ash,0,0,1,1,0,0,3,0,0
28/01/2019 13:14,52.4596861,-1.9238784,1,NA,0,0,0,0,2,0,0,0,0
28/01/2019 13:11,52.446748,-2.445957,1,BIRCH,0,0,0,0,1,0,2,0,0
28/01/2019 13:13,52.446748,-2.445136,2,Birch ,1,3,0,0,1,0,0,0,0
26/01/2019 16:55,52.786,-2.3456,2,Oak,3,3,3,2,2,2,1,1,1
28/01/2019 13:22,52.786,-2.3456,2,Alder,3,3,3,2,1,1,3,1,1
28/01/2019 13:16,52.786,-2.345,2,pine ,1,1,2,1,1,1,1,1,1
28/01/2019 13:10,51.8421159,-2.236168,1,Maple,0,0,1,0,3,0,2,0,0
28/01/2019 13:11,51.8422265,-2.2361109,2,Maple,0,1,2,1,3,2,3,0,1
28/01/2019 13:05,52.26439,-2.138444,1,Maple,0,0,0,0,2,0,1,0,0
07/02/2020 12:40,52.26439,-2.138444,1,Maple,0,0,0,0,2,0,1,0,0
28/01/2019 13:03,52.269969,-2.133178,2,Hawthorn,0,0,2,0,2,3,3,0,0
07/02/2020 13:11,52.269969,-2.133178,2,Hawthorne ,0,0,2,0,2,3,3,0,0
28/01/2019 13:13,52.464433,-2.060772,2,Beech,0,0,0,0,0,0,0,2,3
28/01/2019 13:12,52.47146,-2.043712,1,Beech,0,0,0,0,0,0,0,0,0
28/01/2019 13:20,52.4584,-1.9529,1,Oak,0,0,1,0,1,0,0,0,0
28/01/2019 13:09,52.445145,-1.946687,1,Beech,0,1,2,1,2,0,0,0,2
28/01/2019 13:09,52.443148,-1.946642,1,Beech,0,1,2,0,2,0,0,0,1
28/01/2019 13:12,52.443149,-1.946641,1,Beech,0,1,1,0,1,0,0,0,2
28/01/2019 13:11,52.443155,-1.943457,2,beech tree,1,2,2,0,2,0,0,0,1
28/01/2019 13:13,52.442678,-1.94345,1,NA,0,0,1,0,3,1,0,1,2
28/01/2019 13:14,52.442694,-1.943448,2,Beech,0,0,1,0,1,2,0,1,1
28/01/2019 13:11,57.442699,-1.9434433,2,NA,0,0,1,0,1,2,1,0,1
28/01/2019 13:11,52.442699,-1.943438,2,NA,0,1,2,0,2,1,0,0,2
03/02/2020 09:11,52.44694,-1.941908,2,NA,0,0,1,0,0,0,0,0,0
28/01/2019 13:13,52.4203,-1.9409,2,Oak,0,0,1,0,0,0,0,0,0
28/01/2019 13:08,52.446349,-1.940667,2,Birch,0,0,0,0,0,0,0,0,0
03/02/2020 09:10,52.447307,-1.9401,1,NA,0,0,0,0,0,0,0,1,0
28/01/2019 13:12,52.4617,-1.94,2,NA,0,0,0,0,1,1,1,1,0
28/01/2019 13:13,52.4565,-1.9392,2,Oak,0,1,3,1,0,1,0,0,1
28/01/2019 13:09,52.451,-1.9383,1,Hornbeam,0,0,0,0,1,0,1,0,0
28/01/2019 13:10,52.451,-1.9383,1,Hornbeam,0,0,0,0,3,0,0,1,2
28/01/2019 13:13,52.451,-1.9383,1,Hornbeam,0,0,0,0,3,0,2,1,2
28/01/2019 13:14,52.4559,-1.9383,2,Mapel,0,0,0,2,2,1,0,0,0
28/01/2019 13:14,52.4559107,-1.9379909,2,NA,0,1,0,1,1,2,2,2,2
07/02/2020 13:04,52.4439,-1.9378,1,NA,0,0,0,0,0,0,0,1,0
07/02/2020 13:05,52.4439,-1.9378,2,NA,2,0,0,0,0,0,0,2,0
07/02/2020 13:06,52.4439,-1.9378,2,NA,2,0,0,0,0,0,0,2,0
07/02/2020 13:06,52.4439,-1.9378,2,NA,2,0,0,0,0,0,0,2,0
07/02/2020 13:07,52.4424,-1.937,1,NA,0,0,0,0,0,0,0,0,1
07/02/2020 13:07,52.4424,-1.937,1,NA,0,0,0,0,0,0,0,0,1
07/02/2020 13:14,52.4473,-1.9367,1,birch,2,0,1,1,0,0,3,2,0
28/01/2019 13:07,52.446487,-1.936407,1,Birch,0,0,0,0,0,0,0,0,0
